Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
1395.txt,309,10,54,42,14,26,14,9,42,30.9000,22.0714,7.3571,4.2000,3.8571,3.0000,0.6190,1.8571,1.4000,1.0000,0.6429,0.2143,3.0000,1.0000
1162.txt,177,13,32,23,14,10,8,4,19,13.6154,12.6429,7.6957,1.7692,2.2857,1.6429,0.4348,0.7143,1.0769,0.5714,0.2857,0.1739,1.3571,0.8261
115.txt,250,15,31,23,15,8,5,17,17,16.6667,16.6667,10.8696,1.5333,2.0667,1.5333,0.3478,0.5333,1.0000,0.3333,1.1333,0.7391,1.1333,0.7391
692.txt,62,3,14,9,3,6,3,0,9,20.6667,20.6667,6.8889,3.0000,4.6667,3.0000,0.6667,2.0000,1.0000,1.0000,0.0000,0.0000,3.0000,1.0000
455.txt,349,15,53,39,16,20,8,9,28,23.2667,21.8125,8.9487,2.6000,3.3125,2.4375,0.5128,1.2500,1.0667,0.5000,0.5625,0.2308,1.7500,0.7179
1736.txt,183,12,25,19,15,7,7,2,21,15.2500,12.2000,9.6316,1.5833,1.6667,1.2667,0.3684,0.4667,1.2500,0.4667,0.1333,0.1053,1.4000,1.1053
227.txt,312,15,45,30,18,12,9,11,31,20.8000,17.3333,10.4000,2.0000,2.5000,1.6667,0.4000,0.6667,1.2000,0.5000,0.6111,0.3667,1.7222,1.0333
245.txt,320,22,47,36,25,10,8,19,24,14.5455,12.8000,8.8889,1.6364,1.8800,1.4400,0.2778,0.4000,1.1364,0.3200,0.7600,0.5278,0.9600,0.6667
816.txt,430,23,69,50,29,21,16,12,51,18.6957,14.8276,8.6000,2.1739,2.3793,1.7241,0.4200,0.7241,1.2609,0.5517,0.4138,0.2400,1.7586,1.0200
221.txt,353,24,57,48,28,19,14,11,36,14.7083,12.6071,7.3542,2.0000,2.0357,1.7143,0.3958,0.6786,1.1667,0.5000,0.3929,0.2292,1.2857,0.7500
1729.txt,348,22,64,42,24,18,10,15,34,15.8182,14.5000,8.2857,1.9091,2.6667,1.7500,0.4286,0.7500,1.0909,0.4167,0.6250,0.3571,1.4167,0.8095
949.txt,312,19,41,31,18,10,6,13,34,16.4211,17.3333,10.0645,1.6316,2.2778,1.7222,0.3226,0.5556,0.9474,0.3333,0.7222,0.4194,1.8889,1.0968
1706.txt,373,20,70,51,29,22,16,9,33,18.6500,12.8621,7.3137,2.5500,2.4138,1.7586,0.4314,0.7586,1.4500,0.5517,0.3103,0.1765,1.1379,0.6471
171.txt,427,15,65,49,17,29,11,14,45,28.4667,25.1176,8.7143,3.2667,3.8235,2.8824,0.5918,1.7059,1.1333,0.6471,0.8235,0.2857,2.6471,0.9184
124.txt,255,17,40,25,17,10,8,10,19,15.0000,15.0000,10.2000,1.4706,2.3529,1.4706,0.4000,0.5882,1.0000,0.4706,0.5882,0.4000,1.1176,0.7600
1168.txt,398,28,70,51,28,18,13,7,47,14.2143,14.2143,7.8039,1.8214,2.5000,1.8214,0.3529,0.6429,1.0000,0.4643,0.2500,0.1373,1.6786,0.9216
676.txt,387,28,65,54,29,27,16,13,42,13.8214,13.3448,7.1667,1.9286,2.2414,1.8621,0.5000,0.9310,1.0357,0.5517,0.4483,0.2407,1.4483,0.7778
