Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
1395.txt,128,3,24,18,3,15,3,2,23,42.6667,42.6667,7.1111,6.0000,8.0000,6.0000,0.8333,5.0000,1.0000,1.0000,0.6667,0.1111,7.6667,1.2778
1162.txt,157,5,23,16,9,7,4,2,24,31.4000,17.4444,9.8125,3.2000,2.5556,1.7778,0.4375,0.7778,1.8000,0.4444,0.2222,0.1250,2.6667,1.5000
115.txt,210,6,23,18,7,6,3,9,23,35.0000,30.0000,11.6667,3.0000,3.2857,2.5714,0.3333,0.8571,1.1667,0.4286,1.2857,0.5000,3.2857,1.2778
692.txt,179,4,32,25,10,14,5,1,27,44.7500,17.9000,7.1600,6.2500,3.2000,2.5000,0.5600,1.4000,2.5000,0.5000,0.1000,0.0400,2.7000,1.0800
455.txt,32,1,3,3,2,1,1,1,4,32.0000,16.0000,10.6667,3.0000,1.5000,1.5000,0.3333,0.5000,2.0000,0.5000,0.5000,0.3333,2.0000,1.3333
227.txt,285,19,38,28,19,9,8,6,34,15.0000,15.0000,10.1786,1.4737,2.0000,1.4737,0.3214,0.4737,1.0000,0.4211,0.3158,0.2143,1.7895,1.2143
245.txt,159,3,27,21,4,8,3,3,29,53.0000,39.7500,7.5714,7.0000,6.7500,5.2500,0.3810,2.0000,1.3333,0.7500,0.7500,0.1429,7.2500,1.3810
816.txt,267,17,38,28,19,11,9,5,30,15.7059,14.0526,9.5357,1.6471,2.0000,1.4737,0.3929,0.5789,1.1176,0.4737,0.2632,0.1786,1.5789,1.0714
221.txt,178,3,26,19,6,11,3,0,28,59.3333,29.6667,9.3684,6.3333,4.3333,3.1667,0.5789,1.8333,2.0000,0.5000,0.0000,0.0000,4.6667,1.4737
949.txt,181,8,27,23,10,10,7,5,28,22.6250,18.1000,7.8696,2.8750,2.7000,2.3000,0.4348,1.0000,1.2500,0.7000,0.5000,0.2174,2.8000,1.2174
171.txt,154,3,22,17,6,8,4,1,29,51.3333,25.6667,9.0588,5.6667,3.6667,2.8333,0.4706,1.3333,2.0000,0.6667,0.1667,0.0588,4.8333,1.7059
124.txt,206,3,35,30,4,21,4,3,32,68.6667,51.5000,6.8667,10.0000,8.7500,7.5000,0.7000,5.2500,1.3333,1.0000,0.7500,0.1000,8.0000,1.0667
1168.txt,187,7,23,17,11,7,5,2,23,26.7143,17.0000,11.0000,2.4286,2.0909,1.5455,0.4118,0.6364,1.5714,0.4545,0.1818,0.1176,2.0909,1.3529
676.txt,236,6,40,31,6,14,4,5,33,39.3333,39.3333,7.6129,5.1667,6.6667,5.1667,0.4516,2.3333,1.0000,0.6667,0.8333,0.1613,5.5000,1.0645
603.txt,153,5,20,12,7,5,2,2,26,30.6000,21.8571,12.7500,2.4000,2.8571,1.7143,0.4167,0.7143,1.4000,0.2857,0.2857,0.1667,3.7143,2.1667
1152.txt,207,9,26,18,10,9,8,8,32,23.0000,20.7000,11.5000,2.0000,2.6000,1.8000,0.5000,0.9000,1.1111,0.8000,0.8000,0.4444,3.2000,1.7778
753.txt,146,2,18,13,2,8,2,3,25,73.0000,73.0000,11.2308,6.5000,9.0000,6.5000,0.6154,4.0000,1.0000,1.0000,1.5000,0.2308,12.5000,1.9231
35.txt,157,11,18,14,12,2,2,7,17,14.2727,13.0833,11.2143,1.2727,1.5000,1.1667,0.1429,0.1667,1.0909,0.1667,0.5833,0.5000,1.4167,1.2143
1028.txt,143,4,16,12,6,5,5,7,24,35.7500,23.8333,11.9167,3.0000,2.6667,2.0000,0.4167,0.8333,1.5000,0.8333,1.1667,0.5833,4.0000,2.0000
1258.txt,180,7,25,19,13,6,4,3,25,25.7143,13.8462,9.4737,2.7143,1.9231,1.4615,0.3158,0.4615,1.8571,0.3077,0.2308,0.1579,1.9231,1.3158
